{0, 0}
{1, 0}
{2, 1}
{3, 1}
{4, 0}
{5, 1}
{6, 0}
{7, 1}
{8, 0}
{9, 0}
{12, 0}
{13, 2}
{14, 1}
{15, 0}
{16, 1}
{17, 2}
{18, 0}
{19, 1}
{23, 1}
{24, 0}
{25, 0}
{26, 0}
{27, 0}
{28, 0}
{29, 1}
{34, 1}
{35, 1}
{36, 0}
{37, 2}
{38, 1}
{39, 0}
{45, 0}
{46, 0}
{47, 1}
{48, 0}
{49, 0}
{56, 0}
{57, 0}
{58, 0}
{59, 1}
{67, 1}
{68, 0}
{69, 0}
{78, 0}
{79, 2}
{89, 1}
{123, 0}
{124, 2}
{125, 2}
{126, 0}
{127, 2}
{128, 2}
{129, 0}
{134, 1}
{135, 0}
{136, 3}
{137, 3}
{138, 0}
{139, 2}
{145, 1}
{146, 2}
{147, 0}
{148, 0}
{149, 4}
{156, 0}
{157, 3}
{158, 0}
{159, 0}
{167, 3}
{168, 0}
{169, 2}
{178, 0}
{179, 4}
{189, 0}
{234, 0}
{235, 1}
{236, 1}
{237, 0}
{238, 2}
{239, 2}
{245, 0}
{246, 0}
{247, 0}
{248, 0}
{249, 0}
{256, 0}
{257, 1}
{258, 0}
{259, 0}
{267, 0}
{268, 0}
{269, 1}
{278, 1}
{279, 0}
{289, 1}
{345, 0}
{346, 2}
{347, 2}
{348, 0}
{349, 2}
{356, 2}
{357, 0}
{358, 1}
{359, 3}
{367, 2}
{368, 2}
{369, 0}
{378, 0}
{379, 4}
{389, 3}
{456, 0}
{457, 2}
{458, 0}
{459, 0}
{467, 2}
{468, 0}
{469, 0}
{478, 1}
{479, 2}
{489, 0}
{567, 0}
{568, 0}
{569, 2}
{578, 2}
{579, 0}
{589, 1}
{678, 0}
{679, 2}
{689, 0}
{789, 0}
{1234, 4}
{1235, 6}
{1236, 0}
{1237, 11}
{1238, 6}
{1239, 0}
{1245, 0}
{1246, 3}
{1247, 7}
{1248, 0}
{1249, 6}
{1256, 2}
{1257, 0}
{1258, 4}
{1259, 3}
{1267, 6}
{1268, 1}
{1269, 0}
{1278, 0}
{1279, 11}
{1289, 5}
{1345, 7}
{1346, 2}
{1347, 0}
{1348, 4}
{1349, 9}
{1356, 0}
{1357, 4}
{1358, 6}
{1359, 0}
{1367, 8}
{1368, 0}
{1369, 5}
{1378, 6}
{1379, 7}
{1389, 0}
{1456, 4}
{1457, 9}
{1458, 0}
{1459, 7}
{1467, 0}
{1468, 5}
{1469, 3}
{1478, 8}
{1479, 0}
{1489, 3}
{1567, 5}
{1568, 2}
{1569, 0}
{1578, 0}
{1579, 10}
{1589, 4}
{1678, 6}
{1679, 7}
{1689, 0}
{1789, 10}
{2345, 3}
{2346, 0}
{2347, 7}
{2348, 4}
{2349, 0}
{2356, 1}
{2357, 8}
{2358, 0}
{2359, 6}
{2367, 0}
{2368, 4}
{2369, 4}
{2378, 5}
{2379, 0}
{2389, 5}
{2456, 0}
{2457, 0}
{2458, 0}
{2459, 3}
{2467, 4}
{2468, 0}
{2469, 0}
{2478, 0}
{2479, 3}
{2489, 2}
{2567, 2}
{2568, 0}
{2569, 2}
{2578, 3}
{2579, 7}
{2589, 0}
{2678, 4}
{2679, 0}
{2689, 4}
{2789, 5}
{3456, 0}
{3457, 6}
{3458, 4}
{3459, 0}
{3467, 5}
